title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
Birds of Kerala Volume - 5,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,95.0,0.0,0.0,0.0,Unknown,en,0.0
Womanwriting=Manreading?,J Devika,Penguin UK,2013-08-15,"‘[Devika] brings to the reader the delight of reading a book rich in concepts and sources’ Contributions to Indian Sociology The Malayalam literary public is one of the most vibrant in India, and thrives on the long history of widespread literacy in the state of Kerala. It is well described as the ‘beating heart’ of Kerala’s publiclife. Historically, it has been the space in which entrenched power structures encountered their earliest challenges. Not surprisingly, then, critiques of patriarchy in twentieth-century Kerala were first heard and continued to be raised there, even when they had become muffled in wider public discussion. Womanwriting = Manreading? is a provocative take on some of the raging debates in Malayalam literature, which surely resonate elsewhere. But it also raises the important question: can we tell the story of women’s anti-patriarchal writing in Malayalam in a way that highlights the force and drama of their confrontations with the male-dominated literary establishment?",Literary Collections,185.0,0.0,0.0,0.0,Unknown,en,0.0
A Hundred Little Flames,Preeti Shenoy,Harper Collins,2022-12-23,"Sometimes, a journey back is a step forward. When 26-year-old Ayan is sent to live with his grumpy old grandfather Gopal Shanker, in a tiny village, in Kerala, he is understandably devastated. What can a sleepy, idyllic village without even Internet connectivity offer a young man? To make matters worse, Jairaj, Ayan's domineering father has his own plans and is determined to have his way. Soon, Ayan has to come to terms with the hard realities of life and the blindness of greed as he and Gopal Shanker learn that life can sometimes unravel in unanticipated ways. A young man, whose life lies ahead of him. An old man, whose life is all in the past. And a few months that change everything. A Hundred Little Flames is a charming account of a relationship across generations and also a meditative look at the issues of old people. Preeti Shenoy's foray into new fictional terrain is an absolute triumph!",Fiction,343.0,0.0,0.0,9.99,USD,en,0.0
Reinventing Identity,"Jorj Ke Alaks, Elizabeth John",Unknown,2008,A directory of Dalit authors.,Malayalam literature,131.0,0.0,0.0,0.0,Unknown,en,0.0
Birds of Kerala Volume - 8,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,87.0,0.0,0.0,0.0,Unknown,en,0.0
Birds of Kerala Volume - 3,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,89.0,0.0,0.0,0.0,Unknown,en,0.0
Birds of Kerala Volume - 10,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,126.0,0.0,0.0,0.0,Unknown,en,0.0
Pyjamas are Forgiving,Twinkle Khanna,Juggernaut Publication,2018,"Shanthamaaya Sthalam in Kerala is nothing less than the Iron Man of Ayurvedic spas. Here patients have to receive daily shots of ghee laced with cow's urine and he purged both by leeches and the world's most powerful laxative. Anshu, a regular, is a firm believer in the powers of Ayurveda, but on this visit she finds it harder to rebalance herself. For among the milieu of new patients is a familiar and unsettling one--her ex-husband.",Fiction,0.0,5.0,1.0,0.0,Unknown,en,5.0
Birds of Kerala Volume - 7,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,104.0,0.0,0.0,0.0,Unknown,en,0.0
Birds of Kerala Volume - 9,Multipe Authors,Unknown,2011,"This Book describes 453 species of birds, and an additional 49 species that could also occur occasionally as strays. This book provides information on the Ornithological history of Kerala, biographical notes of ornithologists who worked on the 'Birds of Kerala', as bird collectors or ornithologists, in the 19th & 20th centuries. It contains bibliography of almost all the published works on Kerala birds and also discusses on the ecological changes that Kerala underwent in the past century.",,61.0,0.0,0.0,0.0,Unknown,en,0.0
Runes,"Sindhu Nandakumar, Williamsji Maveli",Literatureslight Publishing,2021-06-20,"The word RUNES means ""alphabets"" originally engraved on stones during ancient days. This is a collaborated, dual poetic bliss encasing selected exquisite verses penned down by two authors hailing from Kerala, God’s Own Country. The verses of Williamsji Maveli is a jubilation of life in rhythms and rhymes. In-between the two abyssal breathing space we take in life, we live lavishly throughout the pages of this book. His poems captured most of them neatly in a gratifying style and shape, while the verses of Sindhu Nandakumar unveils before us her thoughts on varied stages of life, thought provoking experiences, ornaments of nature and relations. A mix of human emotions, her fabulous verses are a perfect mock tail of life. She is successful in freezing intermittent thoughts inked on a paper. All verses are a bittersweet experience for a reader. From the laughter that will echo to sudden outbursts of tears to a chance of losing yourself in deep thoughts; anything is possible. No doubt, this book is a dual blissful feel to readers powered by Innovative Authors International Form.",Poetry,193.0,0.0,0.0,1.49,USD,en,0.0
The Unseeing Idol of Light,K R Meera,Penguin Random House India Private Limited,2018-04-16,"One fateful day, Deepti vanishes mysteriously. Baffled by her disappearance and consumed with grief, Prakash, her husband, loses his eyesight. For Prakash, the inexplicable loss of his wife is doubly painful because she was pregnant with their child. And no amount of consolation can bring him solace in the years that ensue. Into this void steps Rajani, a woman with a tormented past. Despite her initial disdain of Prakash, she steadily finds herself drawn to him. And although an intense desire brings them together, Prakash is unable to give Rajani the love she craves just as he is powerless to dispel the luminous memory of Deepti. But where will this grave obsession lead? The Unseeing Idol of Light is a haunting tale that explores love and loss, blindness and sight, obsession and suffering-and the poignant interconnections between them.",Fiction,237.0,0.0,0.0,0.0,Unknown,en,0.0
Social Mobility In Kerala,"Filippo Osella, Caroline Osella",Pluto Press,2000-12-20,"The Izhavas are an ex-untouchable community in the southern Indian state of Kerala. Politically and economically weak, stigmatised as ‘toddy tappers’ and ‘devil dancers’, and considered unapproachable by clean caste Hindus, a century ago Izhavas were associated with other manual-labouring untouchable castes. In recent decades they have sought to improve their position by accumulating economic, symbolic and cultural capital through employment, religion, politics, migration, marriage, education and have tried to assert their right to mobility, often in the face of opposition from their high status Christian and Nayar neighbours. This study examines how Izhavas, through repudiation of their nineteenth-century identity and search for mobility, have come into complex relationships with modernity, colonialism and globalisation. Filippo Osella and Caroline Osella highlight the complexities and contradictions of modern identity, both locally and globally. The authors’ approach builds upon and goes beyond a south Asian focus, showing how the Izhavas represent the rise of formerly stigmatised groups who remain at the same time trapped by stereotype and material disadvantage. Absolute mobility, they argue, has not led to relative mobility within a society which remains stratified and prone to new forms of social exclusion.",History,338.0,0.0,0.0,0.0,Unknown,en,0.0
The Rough Guide to South India & Kerala (Travel Guide eBook),Rough Guides,Apa Publications (UK) Limited,2023-10-01,"This practical travel guide to South India & Kerala features detailed factual travel tips and points-of-interest structured lists of all iconic must-see sights as well as some off-the-beaten-track treasures. Our itinerary suggestions and expert author picks of things to see and do will make it a perfect companion both, ahead of your trip and on the ground. This South India & Kerala guide book is packed full of details on how to get there and around, pre-departure information and top time-saving tips, including a visual list of things not to miss. Our colour-coded maps make South India & Kerala easier to navigate while you're there. This guide book to South India & Kerala has been fully updated post-COVID-19. The Rough Guide to South India & Kerala covers: Mumbai, Maharashtra, Goa, Karnataka, Andhra Pradesh and Telangana, Kerala, Tamil Nadu and the Andaman Islands. Inside this South India & Kerala travel guide you'll find: RECOMMENDATIONS FOR EVERY TYPE OF TRAVELLER Experiences selected for every kind of trip to South India & Kerala, from off-the-beaten-track adventures in Karnataka, to family activities in child-friendly places like the Andaman Islands, or chilled-out breaks in popular tourist areas, like Goa. PRACTICAL TRAVEL TIPS Essential pre-departure information including South India & Kerala entry requirements, getting around, health information, travelling with children, sports and outdoor activities, food and drink, festivals, culture and etiquette, shopping, tips for travellers with disabilities and more. TIME-SAVING ITINERARIES Includes carefully planned routes covering the best of South India & Kerala, which give a taste of the richness and diversity of the destination, and have been created for different time frames or types of trip. DETAILED REGIONAL COVERAGE Clear structure within each sightseeing chapter of this South India & Kerala travel guide includes regional highlights, brief history, detailed sights and places ordered geographically, recommended restaurants, hotels, bars, clubs and major shops or entertainment options. INSIGHTS INTO GETTING AROUND LIKE A LOCAL Tips on how to beat the crowds, save time and money and find the best local spots for hiking, swimming, wildlife and yoga. HIGHLIGHTS OF THINGS NOT TO MISS Rough Guides' rundown of Maharashtra, Goa, Karnataka and Andhra Pradesh's best sights and top experiences helps to make the most of each trip to South India & Kerala, even in a short time. HONEST AND INDEPENDENT REVIEWS Written by Rough Guides' expert authors with a trademark blend of humour, honesty and expertise, this South India & Kerala guide book will help you find the best places, matching different needs. BACKGROUND INFORMATION Comprehensive 'Contexts' chapter of this travel guide to South India & Kerala features fascinating insights into South India & Kerala, with coverage of history, religion, ethnic groups, environment, wildlife and books, plus a handy language section and glossary. FABULOUS FULL COLOUR PHOTOGRAPHY Features inspirational colour photography, including the stunning Andaman Islands and the spectacular temples of Tamil Nadu. COLOUR-CODED MAPPING Practical full-colour maps, with clearly numbered, colour-coded keys for quick orientation in Mumbai, Maharashtra, and many more locations in South India & Kerala, reduce the need to go online. USER-FRIENDLY LAYOUT With helpful icons, and organised by neighbourhood to help you pick the best spots to spend your time.",Travel,961.0,0.0,0.0,23.58,USD,en,0.0
The Last Hangman,Shashi Warrier,Atlantic Books (UK),2014-01-29,"A powerful, sparsely written novel that explores, in brutal detail and measured prose, the life of a man who killed for a living.","India, South",0.0,0.0,0.0,0.0,Unknown,en,0.0
My Life as a Comrade,"K K Shailaja, Manju Sara Rajan",Unknown,2023-06-15,"Simply and grippingly written, My Life as a Comrade will be one of the country's most important political memoirs, one that sheds light not just on a brilliant politician but the society and the world that shaped her.",,0.0,0.0,0.0,0.0,Unknown,en,0.0
Portrait Kerala,"Aruna Nambiar, Saibal Das",Unknown,2007,"Portrait Kerala Captures The Soul And Substance Of One Of The World'S Fastest-Growing Tourism Destinations, The Bewitching South Indian State Of Kerala. The Evocative Text Goes Well Beyond The Average Coffee Table Book, Highlighting Little-Known Aspects Of Kerala, From Its History As An Important Stopover On The Ancient Spice Route To The Rituals Behind Its Colorful Festivals. Divided Into Five Sections On Land, People, Faith, Skills And Cuisine, The Book Reveals The Most Intriguing Aspects Of The State. And With Over 250 Stunning Photographs Packed Within 200 Pages, Portrait Kerala Is Much More Than A Narrative â€“ It Is A Delightful Visual Sketch. A Foreword By Shashi Tharoor, Writer And Former Under-Secretary-General Of The United Nations, Provides A Fitting Introduction. Well Researched And Beautifully Produced, This Is One Book You'Ll Want To Keep On Your Shelf For Years To Come.",Kerala (India),203.0,0.0,0.0,0.0,Unknown,en,0.0
Dead Men Tell Tales,Dr B. Umadathan,Harper Collins,2021-03-31,"Can the dead tell their stories? In the hands of a good forensic surgeon, they certainly can. First published in 2010 in Malayalam as Oru Police Surgeonte Ormakkurippukal, this is the bestselling memoir of Kerala's most famous forensic surgeon, Dr B. Umadathan. Popularly known as the 'Sherlock Holmes of Kerala', Dr Umadathan revisits some of his strangest and most interesting cases, like the Chacko murder masterminded by Sukumara Kurup; the sensational Polakkulam case; and the baffling Panoor Soman case. Chilling, shocking and, at times, downright bizarre, Dead Men Tell Tales is unputdownable.",Biography & Autobiography,287.0,5.0,1.0,12.99,USD,en,5.0
Kerala Hugged,Ankur Mutreja,Ankur Mutreja,2016-11-13,"In a borderless world, all would be travelers indeed. India is a small borderless world in itself, and Kerala lies at the southernmost tip. I live almost near the lovely Kashmir, but does that make Kerala any less lovely! This book is indeed author's baby born out of his love of nature. ""Writing books is the closest men ever came to having children."" --Norman Mailer Kerala is beautiful not only because of ""God"" but also because of the people who have made Kerala their home. The author went there as a parasite in the disguise of a tourist and sucked all he could in a short span of 23 days. But did anybody ever complain? No, never. The Keralans believe the joy multiplies by sharing, and hereby the author emulate them. The book is divided into four chapters concentrated on four famous locations in Kerala: Munnar, Kochi, Alleppey and Varkala. The author's experience in Munnar has been presented as a love story, albeit with nature. Kochi is where the author enlivened and discovered himself as a younger person, and the experience is shared in a canvas of activities involving art, history, luxury, people and sports. Alleppey is known for its backwater cruises; however, the author experienced it as an intriguing world so very different and exciting, climaxing into a thrilling snake boat race experience. Varkala is a place to relax, so did the author, but a bit differently; and the difference is author's unique experience shared with the readers.",Travel,60.0,4.5,14.0,0.0,USD,en,63.0
